AIRLINEID,CARRIER,WAC,Region,StartDateSource,ThruDateSource
19031,MAC,10,Domestic,1/1/1960,12/31/1982
19032,XY,10,Domestic,1/1/1960,9/30/1983
19033,COC,10,Domestic,1/1/1960,12/31/1984
19034,GSA,10,Domestic,1/1/1960,12/31/1984
19035,RZZ,10,Domestic,1/1/1960,12/31/1984
19036,GLW,10,Domestic,1/1/1960,12/31/1985
19037,PRN,10,Domestic,1/1/1960,12/31/1985
19038,STZ,10,Domestic,1/1/1960,12/31/1985
19039,SWT,10,Domestic,1/1/1960,12/31/1985
19040,TSF,10,Domestic,1/1/1960,12/31/1985
19041,VEZ,10,Domestic,1/1/1960,12/31/1985
19042,WEB,10,Domestic,1/1/1960,12/31/1985
19043,AAR,10,Domestic,1/1/1960,12/31/1986
19044,CHI,10,Domestic,1/1/1960,12/31/1986
19045,MRC,10,Domestic,1/1/1960,12/31/1986
19046,OHZ,10,Domestic,1/1/1960,12/31/1986
19047,PRO,10,Domestic,1/1/1960,12/31/1986
19048,SAI,10,Domestic,1/1/1960,12/31/1986
19049,SLZ,10,Domestic,1/1/1960,12/31/1986
19050,AAZ,10,Domestic,1/1/1960,12/31/1987
19051,IMP,10,Domestic,1/1/1960,12/31/1987
19052,TWA,10,Domestic,1/1/1960,12/31/1987
19053,WRT,10,Domestic,1/1/1960,12/31/1987
19054,COL,10,Domestic,1/1/1960,12/31/1988
19055,MVA,10,Domestic,1/1/1960,12/31/1989
19056,CHL,10,Domestic,1/1/1960,12/31/1990
19057,JCZ,10,Domestic,1/1/1960,12/31/1990
19058,MIS,10,Domestic,1/1/1960,12/31/1990
19059,STG,10,Domestic,1/1/1960,12/31/1990
19060,CKI,10,Domestic,1/1/1960,12/31/1991
19061,CMD,10,Domestic,1/1/1960,12/31/1991
19062,EMA,10,Domestic,1/1/1960,12/31/1991
19063,ORI,10,Domestic,1/1/1960,12/31/1991
19064,RAN,10,Domestic,1/1/1960,12/31/1991
19065,AJ,10,Pacific,1/1/1960,6/30/1993
19066,SKI,10,Domestic,1/1/1960,12/31/1996
19067,WWI,10,Domestic,1/1/1960,3/31/1998
19068,AND,10,Domestic,1/1/1960,6/30/2000
19069,ACG,10,Domestic,1/1/1960,12/31/2001
19070,AAA,10,Domestic,1/1/1960,9/30/2002
19071,AAB,10,Domestic,1/1/1960,9/30/2002
19072,AAE,10,Domestic,1/1/1960,9/30/2002
19073,AAL,10,Domestic,1/1/1960,9/30/2002
19074,ABH,10,Domestic,1/1/1960,9/30/2002
19075,ABI,10,Domestic,1/1/1960,9/30/2002
19076,ABO,10,Domestic,1/1/1960,9/30/2002
19077,ACA,10,Domestic,1/1/1960,9/30/2002
19078,ACH,10,Domestic,1/1/1960,9/30/2002
19079,ACI,10,Domestic,1/1/1960,9/30/2002
19080,ACO,10,Domestic,1/1/1960,9/30/2002
19081,ACP,10,Domestic,1/1/1960,9/30/2002
19082,ACS,10,Domestic,1/1/1960,9/30/2002
19083,ACT,10,Domestic,1/1/1960,9/30/2002
19084,ACK,10,Domestic,1/1/1960,9/30/2002
19085,AEC,10,Domestic,1/1/1960,9/30/2002
19086,AFA,10,Domestic,1/1/1960,9/30/2002
19087,AGA,10,Domestic,1/1/1960,9/30/2002
19088,AIA,10,Domestic,1/1/1960,9/30/2002
19089,AIE,10,Domestic,1/1/1960,9/30/2002
19090,AIM,10,Domestic,1/1/1960,9/30/2002
19091,AIN,10,Domestic,1/1/1960,9/30/2002
19092,ALE,10,Domestic,1/1/1960,9/30/2002
19093,ALI,10,Domestic,1/1/1960,9/30/2002
19094,ALL,10,Domestic,1/1/1960,9/30/2002
19095,AMA,10,Domestic,1/1/1960,9/30/2002
19096,AMI,10,Domestic,1/1/1960,9/30/2002
19097,ANB,10,Domestic,1/1/1960,9/30/2002
19098,ANM,10,Domestic,1/1/1960,9/30/2002
19099,ANO,10,Domestic,1/1/1960,9/30/2002
19100,ANT,10,Domestic,1/1/1960,9/30/2002
19101,AOI,10,Domestic,1/1/1960,9/30/2002
19102,API,10,Domestic,1/1/1960,9/30/2002
19103,APL,10,Domestic,1/1/1960,9/30/2002
19104,APY,10,Domestic,1/1/1960,9/30/2002
19105,ARI,10,Domestic,1/1/1960,9/30/2002
19106,ARN,10,Domestic,1/1/1960,9/30/2002
19107,ARO,10,Domestic,1/1/1960,9/30/2002
19108,ARR,10,Domestic,1/1/1960,9/30/2002
19109,ASD,10,Domestic,1/1/1960,9/30/2002
19110,ASI,10,Domestic,1/1/1960,9/30/2002
19111,ASP,10,Domestic,1/1/1960,9/30/2002
19112,AST,10,Domestic,1/1/1960,9/30/2002
19113,ATN,10,Domestic,1/1/1960,9/30/2002
19114,ATO,10,Domestic,1/1/1960,9/30/2002
19115,ATS,10,Domestic,1/1/1960,9/30/2002
19116,ATT,10,Domestic,1/1/1960,9/30/2002
19117,ATX,10,Domestic,1/1/1960,9/30/2002
19118,AVA,10,Domestic,1/1/1960,9/30/2002
19119,AVI,10,Domestic,1/1/1960,9/30/2002
19120,AVS,10,Domestic,1/1/1960,9/30/2002
19121,AVZ,10,Domestic,1/1/1960,9/30/2002
19122,BAC,10,Domestic,1/1/1960,9/30/2002
19123,BAH,10,Domestic,1/1/1960,9/30/2002
19124,BAK,10,Domestic,1/1/1960,9/30/2002
19125,BAR,10,Domestic,1/1/1960,9/30/2002
19126,BCA,10,Domestic,1/1/1960,9/30/2002
19127,BEN,10,Domestic,1/1/1960,9/30/2002
19128,BEY,10,Domestic,1/1/1960,9/30/2002
19129,BHK,10,Domestic,1/1/1960,9/30/2002
19130,BHO,10,Domestic,1/1/1960,9/30/2002
19131,BIR,10,Domestic,1/1/1960,9/30/2002
19132,BMT,10,Domestic,1/1/1960,9/30/2002
19133,BOA,10,Domestic,1/1/1960,9/30/2002
19134,BRO,10,Domestic,1/1/1960,9/30/2002
19135,BUR,10,Domestic,1/1/1960,9/30/2002
19136,CAC,10,Domestic,1/1/1960,9/30/2002
19137,CAI,10,Domestic,1/1/1960,9/30/2002
19138,CAM,10,Domestic,1/1/1960,9/30/2002
19139,CAP,10,Domestic,1/1/1960,9/30/2002
19140,CAT,10,Domestic,1/1/1960,9/30/2002
19141,CAV,10,Domestic,1/1/1960,9/30/2002
19142,CBA,10,Domestic,1/1/1960,9/30/2002
19143,CEN,10,Domestic,1/1/1960,9/30/2002
19144,CET,10,Domestic,1/1/1960,9/30/2002
19145,CHD,10,Domestic,1/1/1960,9/30/2002
19146,CHE,10,Domestic,1/1/1960,9/30/2002
19147,CHF,10,Domestic,1/1/1960,9/30/2002
19148,CHO,10,Domestic,1/1/1960,9/30/2002
19149,CHS,10,Domestic,1/1/1960,9/30/2002
19150,CIS,10,Domestic,1/1/1960,9/30/2002
19151,CNN,10,Domestic,1/1/1960,9/30/2002
19152,COB,10,Domestic,1/1/1960,9/30/2002
19153,COK,10,Domestic,1/1/1960,9/30/2002
19154,COM,10,Domestic,1/1/1960,9/30/2002
19155,COR,10,Domestic,1/1/1960,9/30/2002
19156,COS,10,Domestic,1/1/1960,9/30/2002
19157,COT,10,Domestic,1/1/1960,9/30/2002
19158,COU,10,Domestic,1/1/1960,9/30/2002
19159,CPA,10,Domestic,1/1/1960,9/30/2002
19160,CPC,10,Domestic,1/1/1960,9/30/2002
19161,CRA,10,Domestic,1/1/1960,9/30/2002
